"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10n";;;
2;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
3;"J7";"629105150521";1;"629105150521 (USB Micro B)";;;
4;"J5,J6";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"Conn_01x04_Pin";;;
5;"C14,C5,C4,C8,C7,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100n";;;
6;"J8";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10_Pin";;;
7;"D1,D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"GREEN LED";;;
8;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1M";;;
9;"C2,C1,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"1u";;;
10;"J4,J2";"PinHeader_1x08_P2.54mm_Vertical";2;"Conn_01x08_Pin";;;
11;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32L476RGTx";;;
12;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
13;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
14;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED LED";;;
15;"R8,R11,R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k";;;
16;"RV1";"Potentiometer_Vishay_T93XA_Horizontal";1;"100k";;;
17;"C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7u";;;
18;"L1";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"39n";;;
19;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220";;;
20;"U2";"SOT-23-5";1;"BU33SD5WG-TR";;;
21;"Q2";"TO-92_Inline";1;"2N7000";;;
22;"J1";"PinHeader_2x07_P1.27mm_Vertical_SMD";1;"Conn_02x07_Odd_Even";;;
23;"S1";"PTS645TM952LFS";1;"PTS645TM952LFS";;;
